PF00125B,FLENGED ELBOW 160MM EXPOXY COATED 90,0,18374,PC,0,L5,PIPESAND FITTINGS\
PF00125C,FLENGED ELBOW 200MM EXPOXY COATED 90,0,27840,PC,0,L5,PIPESAND FITTINGS\
PF00126,FLENGED NIPPLE 63MM,7,2000,PC,6,H4,PIPESAND FITTINGS\
PF00127,FLANGED DOUBLE TAPPED 1/2 D.I PIPE 80MM X 0.49 BLUE,1,0,PC,1,D5,PIPESAND FITTINGS\
PF00128,FLENGED FLAP VALVE DN300,1,0,PC,1,D7,PIPESAND FITTINGS\
PF00129,FLANGED PIPE D.I 80MM X 0.59M  BLACK,1,0,PC,1,D5,PIPESAND FITTINGS\
PF00130,FLANGED PIPE D.I 80MM X 0.98M  BLACK,0,0,PC,1,D5,PIPESAND FITTINGS\
PF00131,FLENGED SOCKET ADAPTOR 63MM,18,1500,PC,3,H2,PIPESAND FITTINGS\
PF00132,FLENGED SOCKET ADAPTOR 63MM X 3/4 TAPPED,1,1500,PC,1,H2,PIPESAND FITTINGS\
PF00133,FLENGED SOCKET ADAPTOR  63MMTHREADED  63MM,20,2500,PC,6,H1,PIPESAND FITTINGS\
PF00134,FLENGED SOCKET ADPTOR 90MM,2,4500,PC,2,D4,PIPESAND FITTINGS\
PF00135,FLENGED SOCKET ADAPTOR 98MM VJ COUPLING,0,0,PC,0,G5,PIPESAND FITTINGS\
PF00136,FLENGED  SOCKET ADAPTOR  110MM,7,2700,PC,2,K3,PIPESAND FITTINGS\
PF00137,FLENGED SOCKET ADAPTOR  DN 110MM X 3/4 TAPPED,1,2700,PC,1,K3,PIPESAND FITTINGS\
PF00138,FLENGED SOCKET ADAPTOR 110MM X 3/4 TAPPED,3,2700,PC,1,H5,PIPESAND FITTINGS\
PF00139,FLENGED SOCKET ADAPTOR 118.1MM O.D,0,4500,PC,1,G5,PIPESAND FITTINGS\
PF00140,FLENGED SOCKET ADAPTOR 160MM,4,7500,PC,2,K3,PIPESAND FITTINGS\
PF00141,FLENGED SOCKET ADAPTOR 160MM X 3/4 TAPPED,1,7500,PC,1,K3,PIPESAND FITTINGS\
PF00142,FLENGED SOCKET ADAPTOR 170MM,1,7500,PC,1,G3,PIPESAND FITTINGS\
PF00143,FLENGED SOCKET ADAPTOR D.I 222MM O.D,1,9000,PC,1,G5,PIPESAND FITTINGS\
PF00144,FLENGED SOCKET ADAPTOR 225MM,0,9000,PC,1,K3,PIPESAND FITTINGS\
PF00145,FLENGED SOCKET ADAPTOR 315MM,5,18000,PC,2,K2,PIPESAND FITTINGS\
PF00146,FLENGED SPIGOT 63MM,18,750,PC,6,H3,PIPESAND FITTINGS\
PF00147,FLENGED SPIGOT   ADOPTOR - 80MM,2,3000,PC,2,H2,PIPESAND FITTINGS\
PF00148,FLENGED SPIGOT  ADOPTOR -90MM,10,3000,PC,9,H4,PIPESAND FITTINGS\
PF00149,FLENGED SPIGOT  ADOPTOR -90MM TAPPED 3/4,1,3000,PC,2,I5,PIPESAND FITTINGS\
PF00150,FLENGED SPIGOT   ADOPTOR DN 90MM,5,3000,PC,2,H2,PIPESAND FITTINGS\
PF00151,FLENGED SPIGOT   ADOPTOR  110MM,9,3500,PC,3,H3,PIPESAND FITTINGS\
PF00152,FLENGED SPIGOT  ADOPTOR -110MM  X TAPPED 3/4,2,3500,PC,1,H3,PIPESAND FITTINGS\
PF00153,FLENGED SPIGOT  ADOPTOR -160MM  X TAPPED 3/4,0,0,PC,1,H4,PIPESAND FITTINGS\
PF00154,FLENGED SPIGOT DN 150/1000MM,1,4500,PC,1,D/ TANK,PIPESAND FITTINGS\
PF00155,FLENGED SPIGOT DN 200MM,3,14500,PC,1,H1,PIPESAND FITTINGS\
PF00156,FLENGED SPIGOT ADAPTORS - 225MM,3,11300,PC,2,H2,PIPESAND FITTINGS\
PF00157,FLENGED SPIGOT ADAPTORS 225MM X3/4 TAPPED,1,11300,PC,1,H3,PIPESAND FITTINGS\
PF00158,FLENGED SPIGOT DN 300MM X 100MM,1,4500,PC,1,D6,PIPESAND FITTINGS\
PF00159,FLENGED SOCKET ADAPTOR DN 326MM O.D,5,14500,PC,2,G4,PIPESAND FITTINGS\
PF00160,FLENGED STEEL ELBOW 110MM X 90,0,5499.99,PC,2,G4,PIPESAND FITTINGS\
PF00161A,FLENGED STEEL NIPPLE TAPPED 110MM,1,5499.99,PC,2,G4,PIPESAND FITTINGS\
PF00161B,FLENGED 110MM THREADED,3,2563.6,PC,2,G4,PIPESAND FITTINGS\
PF00162,FLENGED STEEL  TEE 315MM X 200MM,0,23600.2,PC,1,W1,PIPESAND FITTINGS\
