STOCK  WORKSHEET AS AT  2022-05-13
ITEM NO , CODE ,  ITEM  , UNITS , CATEGORY , LOCATION , QUANTITY , UNIT PRICE , VALUE , PHYSICAL COUNT ,  DIFFERENCE , REMARKS
87,MC0067,FRONT TYRE 275 X 21,PC,MOTOR CYCLE SPARES,L3,0,"7,000.00",0.00
88,MC0068,FUEL COCK ASSY. 18G - 24500 - 02,PC,MOTOR CYCLE SPARES,L3,0,"4,313.18",0.00
89,MC0069,FUEL FILTER,PC,MOTOR CYCLE SPARES,L3,0,100.00,0.00
90,MC0070,FUSE HOLDER 55K 8215001,PC,MOTOR CYCLE SPARES,L3,1,241.00,241.00
91,MC0071,GASKET FLOAT CHAMBER CARBURETOR,PC,MOTOR CYCLE SPARES,L3,0,58.74,0.00
92,MC0072,GASKET MAKER,PC,MOTOR CYCLE SPARES,L3,1,200.00,200.00
93,MC0073,GASKET PAPER,PC,MOTOR CYCLE SPARES,L3,1,350.00,350.00
94,MC0074A,GEAR DRIVE,PC,MOTOR CYCLE SPARES,L3,0,"1,080.56",0.00
95,MC0074B,GEAR KICK 15V - LE565 YBR,PC,MOTOR CYCLE SPARES,L3,0,"1,378.83",0.00
96,MC0074C,GEAR LEVER- HONDA,PC,MOTOR CYCLE SPARES,L3,0,600.00,0.00
97,MC0075,GEAR METER 5JO - 25138 - 00,PC,MOTOR CYCLE SPARES,L3,19,128.40,"2,439.60"
98,MC0076,GRIP - LEFT HAND IE - 6 -Z6241 - 00,PC,MOTOR CYCLE SPARES,L3,6,120.00,720.00
99,MC0077,GRIP[ - RIGHT HAND IA - 02 - 624201,PC,MOTOR CYCLE SPARES,L3,2,625.00,"1,250.00"
100,MC0078A,GROMMET 90480 - 13398,PC,MOTOR CYCLE SPARES,L3,10,14.40,144.00
101,MC0078B,GUIDE ROTOR 2T5  - 26274-00,PC,MOTOR CYCLE SPARES,L3,0,95.97,0.00
102,MC0079,HEAD LAMP UNIT 5KAH43100 - 000,PC,MOTOR CYCLE SPARES,L3,0,0.00,0.00
103,MC0080,HEAD LAMP UNIT - 18G -84110 - 00 DT,PC,MOTOR CYCLE SPARES,L3,2,"1,898.10","3,796.20"
104,MC0081,HEAD LIGHT BULB 12/6 VOLTS 17F - 84114 -00,PC,MOTOR CYCLE SPARES,L3,0,"1,517.28",0.00
105,MC0082A,HELMENT RIDING,PC,MOTOR CYCLE SPARES,L3,0,"2,610.00",0.00
106,MC0082B,HONDA MOTOR BIKE 125CC,PC,MOTOR CYCLE SPARES,L3,0,"109,900.00",0.00
107,MC0083A,HOLDER 3J026,PC,MOTOR CYCLE SPARES,L3,1,121.78,121.78
108,MC0083B,HORN - 18G - 83371 -10,PC,MOTOR CYCLE SPARES,L3,2,800.00,"1,600.00"
109,MC0084A,INNER TUBECOMP 1 5VL- F3110-00 YBR,PC,MOTOR CYCLE SPARES,,2,"5,326.69","10,653.38"
110,MC0084B,JOINT AIR CLEANER 18G - 14453 -01,PC,MOTOR CYCLE SPARES,L3,0,0.00,0.00
